N,threads,time_seconds
100,1,0.000204
100,2,0.009713
100,4,0.014785
100,6,0.023750
100,8,0.031759
100,10,0.034629
100,12,0.050339
100,14,0.062857
100,16,0.072898
1000,1,0.001053
1000,2,0.010049
1000,4,0.015543
1000,6,0.025600
1000,8,0.028287
1000,10,0.061715
1000,12,0.055320
1000,14,0.066852
1000,16,0.074494
10000,1,0.009096
10000,2,0.014148
10000,4,0.017279
10000,6,0.031931
10000,8,0.035046
10000,10,0.058669
10000,12,0.050992
10000,14,0.067923
10000,16,0.074610
100000,1,0.090632
100000,2,0.062132
100000,4,0.043464
100000,6,0.059314
100000,8,0.053496
100000,10,0.063831
100000,12,0.066480
100000,14,0.068894
100000,16,0.096165
1000000,1,0.953889
1000000,2,0.549979
1000000,4,0.280747
1000000,6,0.211700
1000000,8,0.190257
1000000,10,0.219779
1000000,12,0.204436
1000000,14,0.201686
1000000,16,0.212663
10000000,1,9.329124
10000000,2,4.762544
10000000,4,2.512582
10000000,6,1.789089
10000000,8,1.345178
10000000,10,1.449381
10000000,12,1.371424
10000000,14,1.275475
10000000,16,1.381308
