x,y
0.000008,-0.992888
0.458650,0.168374
0.047045,-0.920215
0.934693,1.199312
0.830965,1.322326
0.529700,0.413450
0.383416,-0.243505
0.686773,0.810154
0.846167,1.210237
0.653919,0.594813
0.910321,1.270042
0.047465,-0.918289
0.632639,0.656200
0.365339,0.079568
0.722660,0.762996
0.072686,-0.746497
0.272710,-0.304903
0.477732,0.167913
0.359265,-0.290511
0.897656,1.284650
0.904653,1.145271
0.319033,-0.218806
0.266145,-0.127251
0.073749,-0.903436
0.277082,-0.349012
0.464446,0.194282
0.761514,0.937727
0.125365,-0.795151
0.868247,1.162301
0.725412,0.816049
0.233195,-0.508221
0.513274,0.341344
0.412081,0.023089
0.415395,-0.070719
0.287212,-0.176361
0.571655,0.494065
0.534450,0.449513
0.748293,0.954718
0.624849,0.593616
0.212752,-0.412176
0.090990,-0.611774
0.414293,-0.031445
0.937897,1.415824
0.317540,-0.234422
0.150335,-0.690167
0.387725,0.040014
0.587187,0.419084
0.955409,1.453208
0.983305,1.542342
0.564899,0.246677
0.464031,0.179867
0.199757,-0.604557
0.126712,-0.750077
0.803073,0.842480
0.389314,0.148967
0.901673,1.336115
0.947487,1.459361
0.885648,1.328567
0.071064,-0.825067
0.135109,-0.729406
0.349524,-0.080595
0.931674,1.349234
0.679592,0.698946
0.860860,1.029570
0.600394,0.503314
0.462245,0.134396
0.439330,0.075101
0.702207,0.770947
0.851270,0.975014
0.514435,0.103399
0.576717,0.394061
0.729748,0.813030
0.800720,0.997464
0.019092,-1.000858
0.463323,0.105072
0.488943,0.185138
0.199555,-0.473347
0.890019,1.295818
0.450347,0.129011
0.446023,-0.036144
0.881504,1.078231
0.806650,1.050611
0.999117,1.365721
0.616350,0.926276
0.773352,0.899778
0.417724,0.007373
0.205262,-0.502102
0.828708,1.260944
0.764005,0.931674
0.213547,-0.637796
0.952160,1.355125
0.269215,-0.345168
0.776866,0.880497
0.282156,-0.113957
0.191824,-0.519754
0.819726,0.889225
0.601010,0.590505
0.157731,-0.606374
0.233599,-0.375155
0.634717,0.610427
0.696243,0.704115
0.633430,0.388027
0.227008,-0.479357
0.117437,-0.779047
0.553911,0.335319
0.702989,0.861372
0.485325,0.234556
0.556836,0.360749
0.135332,-0.703728
0.588119,0.366270
0.258843,-0.463197
0.446866,0.024333
0.279293,-0.456023
0.253922,-0.405071
0.513936,0.270307
0.944753,1.477686
0.321560,-0.319924
0.661355,0.547024
0.986503,1.372587
0.343818,-0.250048
0.829239,1.029164
0.642979,0.703107
0.266613,-0.332961
0.843975,1.027751
0.817101,1.189623
0.706950,0.690743
0.582421,0.531498
0.695679,0.743073
0.171179,-0.902383
0.079917,-0.643844
0.782992,0.887062
0.006342,-1.087035
0.066850,-0.917776
0.215826,-0.556884
0.659053,0.567187
0.280289,-0.343496
0.686102,0.868003
0.103797,-0.722018
0.220685,-0.230961
0.160274,-0.622728
0.050603,-0.990654
0.519988,0.374414
0.285942,-0.305348
0.577776,0.401658
0.057475,-0.871989
0.001657,-0.941077
0.377550,-0.162200
0.738959,0.761733
0.035588,-0.708977
0.188276,-0.638332
0.607611,0.326586
0.954028,1.460534
0.974252,1.434053
0.424336,0.112390
0.244586,-0.413656
0.451851,0.046950
0.116571,-0.574992
0.546975,0.510725
0.599359,0.610952
0.687414,0.790714
0.123637,-0.668064
0.080353,-0.784654
0.934030,1.229238
0.769114,0.922231
0.671903,0.683482
0.036368,-0.878747
0.562602,0.337827
0.371466,-0.053663
0.653012,0.625509
0.159758,-0.730198
0.124945,-0.719783
0.621046,0.594747
0.593546,0.403148
0.053694,-0.992687
0.771944,0.711212
0.977180,1.384204
0.445930,0.136157
0.171379,-0.440978
0.964851,1.561572
0.123849,-0.629720
0.517707,0.409754
0.368562,-0.139703
0.713547,0.856582
0.758246,0.877081
0.389060,-0.056178
0.362084,-0.201489
0.401692,0.150578
0.421579,0.023663
0.104969,-0.681403
0.527439,0.377337
0.243750,-0.397698
0.382822,-0.260017
0.232867,-0.485404
0.003229,-1.075030
0.425191,0.241347
0.134039,-0.601171
0.171155,-0.479960
0.347492,-0.287788
0.825837,1.055716
0.329434,-0.221339
0.045341,-0.742606
0.767065,0.683389
0.929150,1.371845
0.088993,-0.800350
0.494631,0.197429
0.378366,-0.034537
0.436096,0.169330
0.977238,1.567499
0.523772,0.314670
0.591588,0.449035
0.232078,-0.520960
0.403581,0.024581
0.850531,1.106201
0.148390,-0.633460
0.468075,0.156532
0.815407,0.939149
0.159216,-0.587418
0.155414,-0.751666
0.110019,-0.939681
0.022405,-0.877140
0.516908,0.285127
0.698460,0.844187
0.670991,0.810737
0.140710,-0.641043
0.380115,0.001614
0.026340,-0.927491
0.713695,0.593053
0.925503,1.279164
0.505970,0.318060
0.601638,0.424289
0.490817,0.415880
0.574360,0.277949
0.698558,0.820041
0.548736,0.322891
0.495125,0.148116
0.441313,-0.091070
0.731364,1.077496
0.522063,0.452340
0.245142,-0.543876
0.551829,0.301786
0.935252,1.266439
0.486681,0.186366
0.407538,-0.100172
0.710450,0.757464
0.605538,0.467769
0.530490,0.329494
0.413494,0.054631
0.920252,1.338504
0.527413,0.424687
0.899521,1.152414
0.004816,-0.993733
0.858766,1.299630
0.506820,0.089861
0.702471,0.856548
0.766175,0.715230
0.344576,-0.131101
0.338510,-0.013960
0.573183,0.468329
0.114475,-0.698779
0.491841,0.277465
0.162204,-0.415370
0.149251,-0.717012
0.883705,1.097697
0.651295,0.770815
0.814416,1.076690
0.901218,1.287554
0.572442,0.517524
0.522215,0.296255
0.869494,1.094528
0.811895,1.135150
0.420038,0.049534
0.880784,1.256563
0.743126,0.916744
0.072869,-0.757845
0.359379,0.014875
0.416796,-0.056572
0.562612,0.452926
0.769360,0.999233
0.878413,1.287038
0.377485,-0.109272
0.121740,-0.554895
0.477641,0.200344
0.390967,-0.037835
0.681199,0.674598
0.859213,1.086828
0.073511,-0.933591
0.450735,0.120001
0.932843,1.426277
0.110018,-0.503728
0.408177,0.185265
0.833474,1.207295
0.196307,-0.639981
0.440268,0.006294
0.368203,-0.191614
0.429473,-0.020147
0.995401,1.419060
0.849278,1.140181
0.374249,-0.366720
0.639058,0.540351
0.799035,0.910179
0.389500,-0.077627
0.144897,-0.716100
0.854365,1.229759
0.602249,0.788678
0.381955,-0.109396
0.264133,-0.260834
0.124391,-0.598087
0.458046,0.223010
0.755856,0.979570
0.794881,0.961341
0.415560,-0.111299
0.719155,0.804544
0.465007,0.296008
0.073850,-0.978875
0.831524,1.148827
0.293043,-0.382981
0.934110,1.265342
0.463059,0.248316
0.405786,-0.215391
0.595927,0.539878
0.131023,-0.780259
0.833378,1.026855
0.982032,1.703182
0.194679,-0.538650
0.278796,-0.371353
0.837082,1.060457
0.730448,0.771108
0.534876,0.296915
0.869188,1.284096
0.276668,-0.285036
0.416007,0.098149
0.332928,-0.278123
0.818107,1.025427
0.243229,-0.420452
0.126034,-0.558275
0.196178,-0.411564
0.602405,0.557435
