threads,time_seconds,pi_output
1,0.004358,pi = 3.1415926535897643
2,0.001657,pi = 3.1415926535898993
4,0.000762,pi = 3.1415926535898757
6,0.000570,pi = 3.1415926535898828
8,0.000558,pi = 3.1415926535898713
10,0.000550,pi = 3.1415926535898815
12,0.000511,pi = 3.1415926535898757
14,0.000448,pi = 3.1415926535898802
16,0.000427,pi = 3.1415926535898722
20,0.000448,pi = 3.1415926535898739
24,0.000538,pi = 3.1415926535898744
28,0.000499,pi = 3.1415926535898766
30,0.000465,pi = 3.1415926535898770
32,0.000478,pi = 3.1415926535898748
